pff_variable,base_variable,census_variable,domain,rounding,source,variable_name,census_variable_2018,table_2018,census_variable_2019,table_2019
lgoenlep1,lgbase,C16001_005,community_profiles,0,,"!!Total!!Spanish!!Speak English less than ""very well""",C16001_005,C16001,,
lgoenlep1,lgbase,C16001_008,community_profiles,0,,"!!Total!!French, Haitian, or Cajun!!Speak English less than ""very well""",C16001_008,C16001,,
lgoenlep1,lgbase,C16001_011,community_profiles,0,,"!!Total!!German or other West Germanic languages!!Speak English less than ""very well""",C16001_011,C16001,,
lgoenlep1,lgbase,C16001_014,community_profiles,0,,"!!Total!!Russian, Polish, or other Slavic languages!!Speak English less than ""very well""",C16001_014,C16001,,
lgoenlep1,lgbase,C16001_017,community_profiles,0,,"!!Total!!Other Indo-European languages!!Speak English less than ""very well""",C16001_017,C16001,,
lgoenlep1,lgbase,C16001_020,community_profiles,0,,"!!Total!!Korean!!Speak English less than ""very well""",C16001_020,C16001,,
lgoenlep1,lgbase,C16001_023,community_profiles,0,,"!!Total!!Chinese (incl. Mandarin, Cantonese)!!Speak English less than ""very well""",C16001_023,C16001,,
lgoenlep1,lgbase,C16001_026,community_profiles,0,,"!!Total!!Vietnamese!!Speak English less than ""very well""",C16001_026,C16001,,
lgoenlep1,lgbase,C16001_029,community_profiles,0,,"!!Total!!Tagalog (incl. Filipino)!!Speak English less than ""very well""",C16001_029,C16001,,
lgoenlep1,lgbase,C16001_032,community_profiles,0,,"!!Total!!Other Asian and Pacific Island languages!!Speak English less than ""very well""",C16001_032,C16001,,
lgoenlep1,lgbase,C16001_035,community_profiles,0,,"!!Total!!Arabic!!Speak English less than ""very well""",C16001_035,C16001,,
lgoenlep1,lgbase,C16001_038,community_profiles,0,,"!!Total!!Other and unspecified languages!!Speak English less than ""very well""",C16001_038,C16001,,
ownerocc,occbaseunits,B25003_002,community_profiles,0,,!!Total!!Owner occupied,B25003_002,B25003,,
mortg,owneroccbase,B25091_002,community_profiles,0,,!!Total!!Housing units with a mortgage,B25091_002,B25091,,
costburden,owneroccbase,B25091_019,community_profiles,0,,!!Total!!Housing units without a mortgage!!30.0 to 34.9 percent,B25091_019,B25091,,
costburden,owneroccbase,B25091_020,community_profiles,0,,!!Total!!Housing units without a mortgage!!35.0 to 39.9 percent,B25091_020,B25091,,
costburden,owneroccbase,B25091_021,community_profiles,0,,!!Total!!Housing units without a mortgage!!40.0 to 49.9 percent,B25091_021,B25091,,
costburden,owneroccbase,B25091_022,community_profiles,0,,!!Total!!Housing units without a mortgage!!50.0 percent or more,B25091_022,B25091,,
costburden,owneroccbase,B25091_008,community_profiles,0,,!!Total!!Housing units with a mortgage!!30.0 to 34.9 percent,B25091_008,B25091,,
